Site_Name,Paper_ID,Latitude,Longitude,Elevation,MAT,MAP,PAS,EXT,CMD,Tave_wt,Tave_sm,PPT_wt,PPT_sm,CE10_chr1_865732,CE10_chr1_1722642,CE10_chr1_4675850,CE10_chr1_12171428,CE10_chr1_13581631,CE10_chr1_17718772,CE10_chr1_32671779,CE10_chr1_36935204,CE10_chr1_36936794,CE10_chr1_36941008,CE10_chr1_38814297,CE10_chr1_38819336,CE10_chr1_38825189,CE10_chr1_40315346,CE10_chr1_41599144,CE10_chr1_41673992,CE10_chr1_41675430,CE10_chr1_41675448,CE10_chr1_41675470,CE10_chr1_41675824,CE10_chr1_41675929,CE10_chr1_41678501,CE10_chr1_41678524,CE10_chr1_44654688,CE10_chr2_2661768,CE10_chr2_2661862,CE10_chr2_6956638,CE10_chr2_6958404,CE10_chr2_6959630,CE10_chr2_6960253,CE10_chr2_13563156,CE10_chr2_22904891,CE10_chr2_37365683,CE10_chr2_39783336,CE10_chr2_40551025,CE10_chr2_41154260,CE10_chr2_51394314,CE10_chr2_51899790,CE10_chr2_53388916,CE10_chr2_53399591,CE10_chr2_53400478,CE10_chr2_53401321,CE10_chr3_6791956,CE10_chr3_10785844,CE10_chr3_14480566,CE10_chr3_15541494,CE10_chr3_18134809,CE10_chr3_21030630,CE10_chr3_22653589,CE10_chr3_23041587,CE10_chr3_23139061,CE10_chr3_24257330,CE10_chr3_42841832,CE10_chr3_48346120,CE10_chr4_9192728,CE10_chr4_9193464,CE10_chr4_9195003,CE10_chr4_45367078,CE10_chr5_5845675,CE10_chr5_6592466,CE10_chr5_8751850,CE10_chr5_9830836,CE10_chr5_9832794,CE10_chr5_9836990,CE10_chr5_9875595,CE10_chr5_9882430,CE10_chr5_9896272,CE10_chr5_9900611,CE10_chr5_9953812,CE10_chr5_9954252,CE10_chr5_11180046,CE10_chr5_41894183,CE10_chr5_41935919,CE10_chr5_51314141,CE10_chr6_257233,CE10_chr6_1416066,CE10_chr6_2638799,CE10_chr6_2752344,CE10_chr6_2755792,CE10_chr6_2755852,CE10_chr6_10140458,CE10_chr6_43994358,CE10_chr6_51193753,CE10_chr6_51194790,CE10_chr6_53301571,CE10_chr6_53332972,CE10_chr6_53832279,CE10_chr6_53832299,CE10_chr6_53833729,CE10_chr6_53835873,CE10_chr6_54174875,CE10_chr6_55633735,CE10_chr6_56804701,CE10_chr6_58952579,CE10_chr6_60334605,CE10_chr6_60718601,CE10_chr7_985535,CE10_chr7_986173,CE10_chr7_986719,CE10_chr7_987180,CE10_chr7_994007,CE10_chr7_994673,CE10_chr7_998986,CE10_chr7_1337233,CE10_chr7_1856331,CE10_chr7_2360636,CE10_chr7_2684373,CE10_chr7_4164614,CE10_chr7_4172139,CE10_chr7_9883449,CE10_chr7_10591619,CE10_chr7_11015414,CE10_chr7_15769730,CE10_chr7_23178958,CE10_chr7_28948567,CE10_chr7_28981283,CE10_chr7_29003536,CE10_chr7_29107369,CE10_chr7_29158559,CE10_chr7_29161404,CE10_chr7_29208220,CE10_chr7_29391174,CE10_chr7_29659045,CE10_chr7_29724587,CE10_chr7_29729519,CE10_chr7_30015050,CE10_chr7_30016447,CE10_chr7_30059557,CE10_chr7_30103040,CE10_chr7_30250512,CE10_chr7_30305796,CE10_chr7_30307553,CE10_chr7_30308993,CE10_chr7_30309817,CE10_chr7_30609338,CE10_chr7_30615814,CE10_chr7_30620527,CE10_chr7_30620833,CE10_chr7_30621013,CE10_chr7_30623199,CE10_chr7_30652811,CE10_chr7_30828465,CE10_chr7_30989065,CE10_chr7_30989213,CE10_chr7_30993871,CE10_chr7_30994029,CE10_chr7_32437131,CE10_chr7_32443349,CE10_chr7_32532317,CE10_chr7_39209611,CE10_chr7_39808984,CE10_chr7_39914579,CE10_chr7_39925591,CE10_chr7_39927083,CE10_chr7_39927324,CE10_chr7_39927553,CE10_chr7_39928890,CE10_chr7_40848773,CE10_chr7_45176171,CE10_chr8_67505,CE10_chr8_453177,CE10_chr8_453457,CE10_chr8_1300847,CE10_chr8_1673324,CE10_chr8_3972852,CE10_chr8_4186577,CE10_chr8_13515170,CE10_chr8_15704151,CE10_chr8_39532743,CE10_chr8_39535580,CE10_chr8_39558859,CE10_chr8_39564287,CE10_chr8_40080676,CE10_chr8_40341188,CE10_chr8_47752251,CE10_chr8_47952724
Carlon,28,37.81006667,-119.8568,1324,10.7,1000,46,40.3,698,3.8,18.8,482,22,0.5,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0.5,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0,1,1,1,1,1,0,0,0,0,0,0.5,1,1,0,0,0,1,0,1,0.5,1,1,0,1,0,0.5,0,1,1,1,1,1,1,0.5,0.5,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0.5,0.5,0.5,0.5,1,1,1,1
Rainbow Pool,29,37.8188,-120.0074333,851,12.8,919,17,42.9,812,5.8,21,450,18,1,0.5,1,0.75,1,0.875,0.75,0.875,0.875,0.875,0.75,0.625,0.625,0.75,0.16666666666666666,0.125,0.125,0.125,0.125,0,0.125,0.125,0.125,1,1,1,0.8333333333333334,0.625,0.625,0.75,0.5,1,1,0.125,1,0.75,0.25,0.25,1,1,1,1,1,1,1,0,0.625,0.625,1,1,1,1,0,1,1,1,1,1,0.875,0.625,0.125,0.875,1,0.125,0.875,1,0.5,0.875,1,1,0.5,0.375,0.625,1,1,1,0.5,0.75,0.75,0.75,0.375,0.5,1,1,1,0.75,0.75,0.75,1,0.875,1,1,0.75,1,0,0.875,1,0.875,0.8333333333333334,1,1,1,1,0,1,1,0.5,0.5,1,0.375,1,1,0.375,1,1,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.375,1,0.25,0.875,0.3333333333333333,0.875,0.625,1,1,0.75,0.75,0.875,0.75,0.875,0.875,1,0.75,0.75,0.75,0.875,0.625,0.3333333333333333,0.25,0.25,1,0.75,1,1,1,1,1,0.25,1,0.5,1,1,1,1,0.875,1,0.125,0.8333333333333334,1,0.875,1,0.875,1,1,0.875,1,0.8333333333333334
Deer Flat Creek,30,37.89761,-121.94553,588,14.2,569,4,41.3,813,8.3,20.2,291,6,1,0.5,1,0.5,1,1,0.5,1,1,1,1,1,1,1,0,1,1,0.5,1,1,1,1,0.5,1,1,1,0.75,0.75,1,0.75,1,1,1,0.25,1,0.25,1,1,0.5,0.5,0.5,0.5,0.75,1,1,0,0.5,0.5,1,1,1,1,0.25,1,0,0,0,1,1,0.75,1,0.5,0.5,0.75,0.5,0.5,1,0.5,1,1,1,0,1,1,1,1,1,0.25,0.25,0.5,0.75,0.75,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.75,0.25,1,0.25,1,0,1,1,0.75,1,1,0.5,0.25,1,0.5,1,0.75,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,0.25,0.5,1,0.25,0.25,1,0.5,0.5,0.5,0.5,1,0.75,0.5,0.5,0.75,0.75,1,0.75,0.5,0.5,0.75,0.75,0.5,1,1,1,0.75,1,1,0.5,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1,0.5,0.5,0.5,0.75,1,1,1
Fivemile Creek,31,38.06638,-120.35368,465,14.3,818,10,45.2,920,6.7,23,388,18,1,1,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,1,0,1,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,0.5,1,1,1,0.5,1,1,0,1,1,0.5,1,0.5,0.5,0.5,0.5,1,1,1,0,0.5,0,1,1,1,1,0,0,1,1,1,1,1,1,0.5,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0.5,1,1,0,0.5,0.5,1,1,0.5,1,1,0.5,1,0.5,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0.5,1,1,0.5,1,0.5,1,0.5,0,0.5,1,1,0.5,0.5,0.5,0.5,0,0,0,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0,1,1,1,1,0.5,1,1,1,1,1,1,1,1
Nicasio Creek,32,38.0695,-122.76317,412,13.6,1105,7,37.8,660,8.7,17.5,616,10,1,0.25,1,0.7857142857142857,1,1,0.9285714285714286,0.9285714285714286,1,0.9285714285714286,0.7142857142857143,0.9285714285714286,0.6666666666666666,0.9285714285714286,0.6,0.6428571428571429,0.5714285714285714,0.5,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.5,0.5,1,0.9285714285714286,0.9285714285714286,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.6428571428571429,1,1,1,0.5,1,0.7142857142857143,0.08333333333333333,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.35714285714285715,1,0.9166666666666666,1,0.25,0.14285714285714285,0.21428571428571427,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.7857142857142857,0.35714285714285715,1,0.14285714285714285,0.16666666666666666,0.25,1,0.8333333333333334,0.5,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.8571428571428571,0.5714285714285714,0.8333333333333334,0.8571428571428571,0.6428571428571429,0.6666666666666666,0.6,0.35714285714285715,0,1,0.9285714285714286,0.6428571428571429,1,0.9,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.3,1,0.7857142857142857,1,0.8333333333333334,0,0,0,0.14285714285714285,0.14285714285714285,0.9285714285714286,0.6428571428571429,0.08333333333333333,0.6,0.08333333333333333,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.9285714285714286,0.3333333333333333,1,0.21428571428571427,1,0.4,1,0.75,1,0.7857142857142857,1,0.35714285714285715,0.25,1,0.9285714285714286,1,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.75,0.9166666666666666,0.7857142857142857,0.6428571428571429,0.7142857142857143,0.8571428571428571,0.75,0.7142857142857143,1,0.6666666666666666,0.9285714285714286,1,0.8333333333333334,0.7857142857142857,1,0.8571428571428571,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7857142857142857,0.8,0.7142857142857143,0.75,0.75,0.6428571428571429,0.8333333333333334,0.9166666666666666,0.8571428571428571,0.9166666666666666,0.5,0.2,0.625,0.8333333333333334,1,0.7142857142857143,0.9285714285714286,0.4166666666666667,1,0.14285714285714285,0.9166666666666666,1,1,1,0.8333333333333334,1,0.9285714285714286,0.7142857142857143,0.07142857142857142,0.5833333333333334,0.6428571428571429,0.8333333333333334,0.6428571428571429,0,0.8571428571428571,0.9166666666666666,0.8571428571428571
NF Stanislaus,33,38.3872,-120.21049,1932,8.9,1299,143,38.3,543,1.6,17.3,595,48,1,0.2777777777777778,1,0.7,1,1,0.95,0.85,0.85,0.9,1,1,1,0.3888888888888889,0.7222222222222222,0,0,0,0,0,0,0.2,0,1,0.8,0.8,0.2777777777777778,0.35,0.3,0.3,0.7857142857142857,1,1,0.25,0.7,0.4,0.5,0.5,0.9,1,0.95,1,1,0.95,1,0.4,1,1,0.85,0.85,0.85,0.85,0.6666666666666666,0.8,0.85,0.85,0.8333333333333334,0.55,1,0.85,1,0.5,0.5625,0.55,0.625,0.5,0.5625,0.5,0.5,0.6111111111111112,0.05,0.55,0.7,0.8,1,1,0.25,0,0,0,0.5,0.2,0.7,0.9,0.9,0.6111111111111112,0.6666666666666666,0.65,0.9,0.6111111111111112,1,1,0.05555555555555555,0.8,0,0.85,0.5,0.6,0.5,0.65,1,0.7,1,0.5,1,0.8,0.45,0.8,1,0.4,0.9,1,0.2777777777777778,1,0.6,0.2,0.3,0.3333333333333333,0.42857142857142855,0.25,0.2,0.3,0.25,0.25,0.3,0.2777777777777778,0.75,0.3,0.4,0.2777777777777778,0.35,0.3125,1,0.3333333333333333,0.35,0.4444444444444444,0.3125,0.4,0.4,0.375,0.5833333333333334,0.3888888888888889,0.7,0.7222222222222222,0.5555555555555556,0.65,0.3888888888888889,0.2,0.3333333333333333,0.45,0.7222222222222222,1,0.85,0.8333333333333334,0.85,0.75,0.75,1,0.45,0.9285714285714286,0.8888888888888888,0.9444444444444444,0.55,0.8,1,0.35,0.7,0.5,0.9,0.95,0.95,0.9,0.5,1,0.6666666666666666,1
Camp Creek 2,34,38.67988,-120.41679,1427,10.8,1306,71,41,649,3.2,19.5,597,32,0.95,0.05555555555555555,1,0.5,0.95,0.8888888888888888,0.6,0.85,0.8,0.8888888888888888,0.4444444444444444,0.4,0.2,1,0.65,0.15,0.1,0.1,0.15,0,0.15,0.05555555555555555,0.05555555555555555,1,0.6,0.5,0.5,0.5,0.5,0.55,1,1,1,0.45,0.8,0.9,0.35,0.35,0.95,0.9,0.85,0.9,1,1,1,0.3333333333333333,0.7,0.7,1,1,1,1,0.3888888888888889,0.95,0.8,0.8333333333333334,0.8,0.5,1,0.8,0.9,0.5,0.5,0.6,0.6111111111111112,0.65,0.7777777777777778,0.4,0.625,0.6666666666666666,0.625,0.6,0.55,0.4444444444444444,1,1,0.125,0,0,0,0.6,0,1,0.95,1,0.875,0.5555555555555556,0.55,0.8,0.5555555555555556,1,0.9,0.75,0.7222222222222222,0.1111111111111111,1,0.1,0.2777777777777778,0.1111111111111111,0.875,1,0.95,1,0.45,1,0.9,0.5,0.75,1,0.65,0.8888888888888888,1,0.45,1,0.6666666666666666,0.0625,0.15,0.0625,0,0.1,0.1,0.1,0.1,0.1111111111111111,0.1,0.05555555555555555,0.8333333333333334,0,0.5,0.125,0.4444444444444444,0.25,1,0.3888888888888889,0.45,0.4375,0.3888888888888889,0.5,0.4,0.3333333333333333,0.6111111111111112,0.5,0.5555555555555556,0.6,0.55,0.55,0.0625,0.1,0.1111111111111111,0.8333333333333334,0.9,1,1,1,1,1,0.8125,1,0.85,0.2,1,1,0.75,0.45,1,0.45,0.6875,0.35,0.9,0.8,0.85,0.9,0.85,0.85,0.6666666666666666,1
Wrights Road,35,38.7854,-120.21366,1643,8.6,1150,138,37.9,549,1.4,16.9,484,50,0.9375,0.14285714285714285,1,0.4375,0.9375,1,0.75,0.625,0.6428571428571429,0.5625,0,0.0625,0,1,0.875,0,0,0,0,0,0,0.0625,0,1,0.9285714285714286,0.9375,0.875,0.875,0.8125,0.75,0.9166666666666666,1,1,0.375,0.6875,0.75,0.35714285714285715,0.6666666666666666,0.8125,1,0.9375,0.9285714285714286,1,0.6875,1,0.6428571428571429,0.625,0.75,0.5,0.5714285714285714,0.5,0.75,0.9375,1,0.8125,0.8571428571428571,0.9375,0.5625,1,0.875,0.875,0.1875,0.125,0.8125,0.125,0.1875,0.875,0,0.07142857142857142,0.14285714285714285,0.9375,0.875,0.07142857142857142,0.375,1,1,1,0,0,0,0.14285714285714285,0.5,0.75,1,0.7142857142857143,0.375,0,0,0.7857142857142857,0,1,0.7142857142857143,1,0.9285714285714286,0.125,1,0.1875,0.07142857142857142,0.1875,1,1,1,1,0.07142857142857142,1,0.75,0.375,0.9375,1,0.5,0.5,1,0.1875,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0.1875,0,0.1875,0,1,0,0.25,0,0.1875,0.1875,0,0.1875,0.1875,0,0.7142857142857143,0.4375,0.5,0.2857142857142857,0.25,0.0625,0.14285714285714285,0.6875,0.6428571428571429,1,1,1,1,1,0.0625,1,0.6875,0.5,1,1,0.8125,0.5625,0.9375,0.875,0.875,0.8571428571428571,1,1,1,1,0.8125,0.5,0.5,0.7142857142857143
Creek to Rubicon,36,38.92881,-120.49947,1330,11.3,1447,58,40.7,604,3.9,19.8,690,36,1,0.3125,1,0.5555555555555556,0.6875,1,0.6666666666666666,0.9444444444444444,0.8333333333333334,0.875,0.5,0.5625,0.6111111111111112,1,0.2222222222222222,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0,0.05555555555555555,0.0625,1,0.8888888888888888,0.9444444444444444,0.6875,0.875,0.75,0.875,1,1,1,0,0.875,0.625,0.75,0.4444444444444444,0.5625,0.6666666666666666,0.625,0.5555555555555556,1,0.7777777777777778,1,0.2222222222222222,0.875,0.8125,0.6666666666666666,0.7857142857142857,0.5555555555555556,0.7222222222222222,0.3888888888888889,1,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.9375,1,1,1,0,0,1,0,0.0625,1,0,0,0,0.3888888888888889,0.16666666666666666,0.625,0.8333333333333334,1,1,0.6666666666666666,0,0,0,0.25,0.3333333333333333,0.9444444444444444,0.6875,0.8333333333333334,0.6111111111111112,0.6111111111111112,0.5555555555555556,0.5625,0.6111111111111112,1,1,0.6666666666666666,0.8888888888888888,0,1,0.6111111111111112,0.625,0.6875,0.6875,1,0.7142857142857143,1,0.3333333333333333,1,1,0.75,1,1,0.7857142857142857,0.8888888888888888,1,0.2222222222222222,1,0.4375,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,0,0.375,0,0.1875,0.3333333333333333,1,0.2857142857142857,0.125,0.5,0.3125,0.4444444444444444,0.5,0.25,0.375,0.2857142857142857,0.7222222222222222,0.5714285714285714,0.5555555555555556,0.6875,0.2,0.16666666666666666,0.1111111111111111,0.6666666666666666,0.8333333333333334,1,0.7777777777777778,0.8333333333333334,0.9285714285714286,0.8888888888888888,0.625,1,0.9375,0.6111111111111112,1,1,0.6666666666666666,0.375,1,0.6428571428571429,0.5555555555555556,0.5555555555555556,1,0.9444444444444444,0.9375,1,0.8333333333333334,1,0.8333333333333334,0.8125
Duncan Creek,37,39.12205,-120.49242,1535,9.2,1639,171,38.9,551,1.7,17.7,779,41,0.85,0.42857142857142855,1,0.3888888888888889,0.95,1,0.6111111111111112,0.55,0.6,0.4375,0.3,0.3125,0.375,1,0.3,0.1,0.1,0.1,0.1111111111111111,0.1,0.05,0.42857142857142855,0.15,1,1,1,0.7,0.7,0.7777777777777778,0.7,1,1,1,0.75,0.7142857142857143,0.5,0.7777777777777778,0.25,1,0.8,0.85,0.95,1,0.7777777777777778,0.95,0.1,0.2,0.0625,0.9,0.9,0.9,0.95,0.05,1,0.3888888888888889,0.3888888888888889,0.5555555555555556,0.95,0.8,0.8888888888888888,1,0.4444444444444444,0.35,0.9,0.2,0.35,0.875,0.35,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.35,0.7,0.85,1,1,1,0,0,0,0.85,0.2222222222222222,0.85,1,0.6,0.8333333333333334,0.5625,0.5625,0.5555555555555556,0.55,0.95,1,0.4444444444444444,0.4,0,0.6,0.9166666666666666,1,0.95,0.95,1,0.2222222222222222,1,0.25,1,0.95,1,1,1,0.05,0.8333333333333334,1,0,1,0.3,0.4444444444444444,0.3888888888888889,0.35,0,0.45,0.3,0.375,0.4444444444444444,0.125,0.45,0.35,0.75,0.25,0.4,0.3125,0.05555555555555555,0.05555555555555555,1,0.05555555555555555,0.45,0.5,0.45,0.4,0.5,0.5,0.4,0.4,0.35,0.375,0.5555555555555556,0.5,0.42857142857142855,0.5,0.3333333333333333,0.8333333333333334,0.6,1,0.6428571428571429,0.7,0.7222222222222222,0.7142857142857143,0.7222222222222222,1,0.65,0.8,1,1,1,0.4,1,0.8888888888888888,0.95,0.25,0.9444444444444444,0.95,1,1,0.35,0.7,0.6,0.9
Fiddle Creek,38,39.5204,-120.99815,700,13.2,1676,34,42.8,713,5.4,21.7,832,32,1,0.25,1,0,0.5,1,0.5,1,1,1,0.75,0.75,0.75,1,1,0.25,0.5,0.5,0.5,0,0.25,1,0.25,1,1,1,0.5,0.25,0.25,0.25,1,1,1,0.5,1,1,0,0.5,0.5,0.5,0.5,0.5,1,1,1,0,0.25,0.25,1,1,1,1,0.25,1,1,1,1,1,1,0.25,1,0.25,0.25,0.75,0.25,1,0.75,0.5,0.5,0.75,0,0.5,0.5,1,1,1,1,0,0,0,0,0.25,1,1,0.5,0.5,0.25,0.25,1,0.5,1,1,1,1,0.5,1,0,0,0,1,1,1,1,1,1,1,0.25,1,1,0.25,0.5,1,0.5,1,0.75,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.25,0.5,1,0.25,0.25,0.5,0.25,0,1,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0,0.25,0.5,0.5,0.5,0.5,1,0.75,0.5,0.5,1,1,1,1,1,1,1,1,0.75,0.75,1,1,1,0.25,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1,1,0.75
Cherokee Creek,39,39.55384,-120.98785,1297,11.7,1863,57,40,584,4.6,20,908,41,0.95,0.3333333333333333,1,0.5555555555555556,1,0.9444444444444444,0.6,0.35,0.25,0.4375,0.7,0.5555555555555556,0.7,0.8888888888888888,0.5,0.3333333333333333,0.3,0.3,0.25,0.2222222222222222,0.5,0.6666666666666666,0.45,0.9,0.8,0.7222222222222222,0.45,0.3888888888888889,0.4375,0.4,0.9444444444444444,1,1,0.3333333333333333,0.5,0.65,0.2777777777777778,0.4375,0.65,0.5555555555555556,0.5,0.8,1,0.8,0.7777777777777778,0.2,0.4,0.45,0.9,0.9,0.8888888888888888,0.95,0.35,1,0.6,0.6,0.65,0.85,1,0.95,0.7,0.5,0.5,0.55,0.5,0.5,0.55,0.5,1,0.95,0.35,0.75,0.55,1,1,1,0.75,0.15,0.2,0.1875,0.5,0.3888888888888889,0.95,0.85,0.8,0.65,0.7,0.625,0.875,0.65,1,0.95,0.6,0.7777777777777778,0.3888888888888889,0.65,0.5,0.7222222222222222,0.45,0.7,1,0.8333333333333334,0.95,0.25,1,0.95,0.7777777777777778,0.65,0.9,0.3888888888888889,0.75,0.95,0.4,0.85,0.8,0.3125,0.3888888888888889,0.2777777777777778,0.3333333333333333,0.3,0.3,0.3333333333333333,0.3,0.3888888888888889,0.25,0.3,0.9285714285714286,0.3,0.35,0.3,0.25,0.25,0.8125,0.2222222222222222,0.35,0.35,0.3888888888888889,0.35,0.3888888888888889,0.35,0.4444444444444444,0.3888888888888889,0.35,0.3888888888888889,0.2777777777777778,0.3888888888888889,0.6111111111111112,0.6111111111111112,0.7,0.5,0.75,1,0.9,0.9,0.9444444444444444,1,0.5,1,1,0.75,0.95,1,1,0.5,1,0.5555555555555556,0.9,0.0625,0.5,0.45,0.55,0.45,0.75,1,0.9,1
Little North Fork Middle Fork Feather,40,39.71209,-121.27485,955,13,1804,31,41.4,626,5.9,21.3,899,38,0.875,0.8333333333333334,1,0.5,1,0.9,0.8,0.3,0.5,0.4,0.7,0.75,0.6,0.9,0.3,0.4,0.5,0.5,0.5,0,0.4,0.7,0.5,1,0.8,0.8,0.7,0.8,0.6,0.6,1,1,1,0.1,0.8,0.5,0,0.125,0.7,0.5,0.5,0.6,1,0.7,1,0.6,1,1,1,1,1,1,0,1,0.8,0.8,0.8,1,1,0.7,0.7,0.7,0.6,0.6,0.6,0.8,0.5,0.6,0.5,0.75,0.8,0.3,0.8,1,0.9,1,0.5,0.4,0.4,0.4,0.625,0.7,0.7,0.9,0.4,0,0.2,0.2,0.6,0.3,1,0.8,0.6,0.8,0,0.7,0.7,0.6,0.7,0.7,1,1,0.9,0.625,1,0.8,0.7,0.8,0.9,0.25,0.7,1,0.5,0.9,1,0.25,0.3,0.375,0.2,0.2,0.2,0.375,0.125,0.4,0.4,0.1,0.875,0,0.2,0.16666666666666666,0.3,0.375,1,0,0.25,0.2,0,0.2,0.125,0.375,0.2,0.4,0.125,0.25,0.3,0.125,0.25,0.3,0.4,0.75,0.8,1,1,1,1,1,0.5,1,0.7,0.6,1,0.8,1,0.3,0.8,0.4,0.9,0.4,0.4,0.3,0.3,0.375,1,1,1,0.8
South Fork,41,39.74001,-123.63228,407,11.9,2022,27,39.8,557,6.7,17.6,1013,30,1,0.25,1,0,1,1,0.375,0.625,0.375,0.16666666666666666,0.375,0.25,0.25,0.625,0.75,0,0,0,0,0,0,0.25,0,1,0.875,0.8333333333333334,0.375,0.25,0.25,0.375,1,1,1,0.375,1,0.375,0.16666666666666666,0,1,1,1,1,1,0.5,1,0.625,0.625,0.625,0.625,0.5,0.5,0.5,0.875,1,0.5,0.5,0.5,0.75,1,1,0.6666666666666666,0.625,0.625,1,0.6666666666666666,0.625,0.75,0.75,0.5,0.625,0.625,0.625,0.75,1,1,1,0,1,0.875,0.875,0.25,0,0.875,0.375,0.5,0.6666666666666666,0.25,0.16666666666666666,0.375,0.125,1,0.3333333333333333,0.875,0.125,0,1,0.375,0.875,0.5,0.625,0.625,0.5,0.6666666666666666,0.625,1,0.16666666666666666,0.875,0.75,1,0,0.25,1,0.625,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.75,0.3333333333333333,1,0.875,0.8333333333333334,0.75,0.75,0.625,1,0.625,0.625,1,1,1,1,1,0.75,0.875,0,0,0,0,0,0.125,1,1,0.5
North Feather (Chip's Creek),42,39.99982,-121.26988,677,11.7,1181,43,41.6,701,4,20.4,565,35,0.9444444444444444,0.6666666666666666,1,0.16666666666666666,1,1,1,0.2777777777777778,0.3888888888888889,0.5,0.7,0.8888888888888888,0.8333333333333334,0.8,0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.5,0.4444444444444444,0.4,0.9375,0.4444444444444444,1,0.75,0.75,0.55,0.35,0.2777777777777778,0.45,0.875,1,1,0.05,0.8888888888888888,0.4375,0,0.2,0.25,0.25,0.1111111111111111,0.9,1,0.1111111111111111,1,0.6,0.85,0.85,1,1,1,1,0.75,1,1,1,1,1,1,0.5,1,0.6875,0.65,0.3888888888888889,0.65,0.7777777777777778,0.5,0.7,0.7142857142857143,0.7222222222222222,0.65,0,1,1,1,1,0,0.375,0.2777777777777778,0.25,0,0,1,1,0.05,0.2222222222222222,0.7777777777777778,0.7222222222222222,0.95,0.7,1,1,0.9444444444444444,0.8333333333333334,0,1,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.95,0.8888888888888888,0.3333333333333333,0.9,0.3,1,1,0.35,1,1,0.6111111111111112,0.7777777777777778,1,0.55,1,1,0.125,0.2222222222222222,0.2,0.15,0.1111111111111111,0.15,0.2222222222222222,0.15,0.1875,0.125,0.15,0.95,0.0625,0.2,0.2,0.15,0.15,1,0.25,0.15,0.15,0.15,0.2,0.15,0.2,0.16666666666666666,0.15,0.15,0.1,0.2,0.2,0.8125,0.6,0.65,1,0.9,1,0.9,1,0.9,0.9,0.15,1,0.7777777777777778,1,1,1,1,0.6111111111111112,1,0.35,0.8888888888888888,0.15,0.65,0.6,0.8,0.65,1,1,1,0.55
